t,variable,value,scenario,is_baseline,regime,uncertainty,value_lo,value_hi
1,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
2,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
3,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
4,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
5,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
6,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
7,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
8,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
9,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
10,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
11,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
12,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
13,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
14,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
15,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
16,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
17,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
18,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
19,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
20,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
21,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
22,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
23,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
24,aluminium,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
1,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
2,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
3,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
4,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
5,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
6,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
7,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
8,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
9,cocoa,0,GIRF — aluminium to uncertainty shock,TRUE,combined,vxo,NA,NA
