scenario,variable,shock_id,total,l1
GIRF — aluminium to uncertainty shock,copper,coffee_arabic,-0.005436015590390064,0.031202771190900494
GIRF — aluminium to uncertainty shock,copper,platinum,-0.004416166059904517,0.02120915313062511
GIRF — aluminium to uncertainty shock,copper,wheat_us_hrw,-0.003938791956967466,0.022231786565776956
GIRF — aluminium to uncertainty shock,copper,ngas_us,-0.002981423639165718,0.016867066998924065
GIRF — aluminium to uncertainty shock,copper,aluminium,0.00259528232743188,0.013954449372673736
GIRF — aluminium to uncertainty shock,copper,crude_wti,-0.0018818713655977715,0.009150636120552004
GIRF — aluminium to uncertainty shock,copper,sugar_wld,-0.0017186849108039573,0.00958922799819874
GIRF — aluminium to uncertainty shock,copper,lead,-0.001605958612515828,0.009487759245979997
GIRF — aluminium to uncertainty shock,copper,nickel,0.001470517120099098,0.01730450998356363
GIRF — aluminium to uncertainty shock,copper,cotton_a_indx,-0.0012320433690967733,0.004563923846602947
GIRF — aluminium to uncertainty shock,copper,gold,-7.208237777762837e-4,0.003929337184881794
GIRF — aluminium to uncertainty shock,copper,silver,-4.044305487149392e-4,0.001998214516487235
GIRF — aluminium to uncertainty shock,copper,cocoa,3.443308553156587e-4,0.006404039338436269
GIRF — aluminium to uncertainty shock,copper,zinc,4.005223714075457e-5,0.021807655072149115
GIRF — aluminium to uncertainty shock,cotton_a_indx,cotton_a_indx,0.287646296418105,0.440474139122338
GIRF — aluminium to uncertainty shock,cotton_a_indx,maize,0.027049409893084502,0.10296492712986058
GIRF — aluminium to uncertainty shock,cotton_a_indx,aluminium,0.0087393813993403,0.018992468941137673
GIRF — aluminium to uncertainty shock,cotton_a_indx,gold,0.008092681442225108,0.02015847954491518
GIRF — aluminium to uncertainty shock,cotton_a_indx,zinc,0.007250749908443632,0.01892283124287627
GIRF — aluminium to uncertainty shock,cotton_a_indx,nickel,0.006274469926694906,0.023581477622533615
GIRF — aluminium to uncertainty shock,cotton_a_indx,silver,0.005399490309322077,0.010071999454775533
GIRF — aluminium to uncertainty shock,cotton_a_indx,tin,0.0040958914248861375,0.0268918233694923
GIRF — aluminium to uncertainty shock,cotton_a_indx,platinum,0.0032359780343886877,0.0344099704922072
GIRF — aluminium to uncertainty shock,cotton_a_indx,crude_wti,0.003218452010769483,0.00811639098545961
GIRF — aluminium to uncertainty shock,cotton_a_indx,wheat_us_hrw,0.001520249055605568,0.015479529051925262
GIRF — aluminium to uncertainty shock,cotton_a_indx,ngas_us,9.157559227962924e-4,0.015320060565051037
GIRF — aluminium to uncertainty shock,cotton_a_indx,sugar_wld,8.837307858467482e-4,0.007883278071009114
GIRF — aluminium to uncertainty shock,cotton_a_indx,copper,-8.739766720778803e-4,0.007921780866344468
GIRF — aluminium to uncertainty shock,cotton_a_indx,cocoa,7.824698922081957e-4,0.0033805432726707377
GIRF — aluminium to uncertainty shock,cotton_a_indx,soybeans,6.805305762761439e-4,0.037575184964844285
GIRF — aluminium to uncertainty shock,cotton_a_indx,coffee_arabic,6.2607529765898e-4,0.016202062267608855
GIRF — aluminium to uncertainty shock,cotton_a_indx,lead,2.2653820766622328e-4,0.017788597124911053
GIRF — aluminium to uncertainty shock,crude_wti,crude_wti,-0.1207452471653275,0.2559734546822936
GIRF — aluminium to uncertainty shock,crude_wti,zinc,-0.00884937816290354,0.01864632225350366
GIRF — aluminium to uncertainty shock,crude_wti,coffee_arabic,-0.00819098871396977,0.01979889950124624
GIRF — aluminium to uncertainty shock,crude_wti,platinum,-0.007488485893293801,0.017855245118195088
GIRF — aluminium to uncertainty shock,crude_wti,maize,-0.0055744753311717105,0.0167958444958451
GIRF — aluminium to uncertainty shock,crude_wti,nickel,-0.005183530158869945,0.018605575009094977
GIRF — aluminium to uncertainty shock,crude_wti,cotton_a_indx,-0.005036292120829954,0.010513725407229502
GIRF — aluminium to uncertainty shock,crude_wti,lead,-0.004776993285065059,0.011763262309347815
GIRF — aluminium to uncertainty shock,crude_wti,soybeans,-0.004763295515818354,0.014709564064085603
GIRF — aluminium to uncertainty shock,crude_wti,ngas_us,-0.0045070260296352855,0.01078442638099865
GIRF — aluminium to uncertainty shock,crude_wti,wheat_us_hrw,-0.003790381919983137,0.010057383465904183
GIRF — aluminium to uncertainty shock,crude_wti,copper,-0.0032472213495347885,0.009393179581139926
GIRF — aluminium to uncertainty shock,crude_wti,silver,-0.0029509832949967084,0.00806219507262184
GIRF — aluminium to uncertainty shock,crude_wti,tin,-0.0028155445160450657,0.005987566234414967
GIRF — aluminium to uncertainty shock,crude_wti,aluminium,-0.002243228137521013,0.004685451868974328
GIRF — aluminium to uncertainty shock,crude_wti,sugar_wld,-0.0020258821561314417,0.004737513143935734
GIRF — aluminium to uncertainty shock,crude_wti,gold,-8.255756231241662e-4,0.001983038274503234
GIRF — aluminium to uncertainty shock,crude_wti,cocoa,-2.5793977377074333e-4,6.474240534290381e-4
GIRF — aluminium to uncertainty shock,gold,maize,-0.008541367753886687,0.01609802216835175
GIRF — aluminium to uncertainty shock,gold,soybeans,-0.0056325529087409825,0.008944600616689679
GIRF — aluminium to uncertainty shock,gold,ngas_us,-0.004626565459089181,0.0097113967832249
GIRF — aluminium to uncertainty shock,gold,coffee_arabic,-0.003959252475694607,0.010996235335988092
GIRF — aluminium to uncertainty shock,gold,tin,-0.0038335402460831485,0.006921485404323099
GIRF — aluminium to uncertainty shock,gold,copper,-0.00365770944906158,0.0076902051593681665
GIRF — aluminium to uncertainty shock,gold,zinc,-0.003355441742388443,0.0072504969637963955
GIRF — aluminium to uncertainty shock,gold,wheat_us_hrw,-0.002552766021742278,0.005839629058314421
GIRF — aluminium to uncertainty shock,gold,platinum,-0.00220029920779945,0.006328840933199759
GIRF — aluminium to uncertainty shock,gold,sugar_wld,-0.002000965316598289,0.006139482461389737
GIRF — aluminium to uncertainty shock,gold,nickel,-0.0018058424723230698,0.005172352306985477
GIRF — aluminium to uncertainty shock,gold,cocoa,-0.0013865505558141155,0.002806110151042473
GIRF — aluminium to uncertainty shock,gold,gold,0.0012792797460673862,0.14263117108410778
GIRF — aluminium to uncertainty shock,gold,lead,-0.0010410924973216257,0.0038620781196982363
GIRF — aluminium to uncertainty shock,gold,cotton_a_indx,-9.087032829313358e-4,0.00731746621925778
GIRF — aluminium to uncertainty shock,gold,crude_wti,-4.5469735164275463e-4,0.001301573427612925
GIRF — aluminium to uncertainty shock,gold,silver,-4.230054087790221e-4,0.00104997042846505
GIRF — aluminium to uncertainty shock,gold,aluminium,-3.4162236172129975e-4,6.849276966970821e-4
GIRF — aluminium to uncertainty shock,lead,lead,0.02920279897168248,0.25848649586679284
GIRF — aluminium to uncertainty shock,lead,zinc,-0.006369730784316243,0.022635691443821118
GIRF — aluminium to uncertainty shock,lead,maize,-0.006094957175133787,0.022884654373000034
GIRF — aluminium to uncertainty shock,lead,ngas_us,-0.00472092694381333,0.01899268445363657
GIRF — aluminium to uncertainty shock,lead,soybeans,-0.0038661905430491346,0.01293950071442975
GIRF — aluminium to uncertainty shock,lead,copper,-0.002933526751588588,0.016865092333626906
GIRF — aluminium to uncertainty shock,lead,nickel,-0.0015948413629075175,0.005146296746257372
GIRF — aluminium to uncertainty shock,lead,platinum,-0.0013814330451617605,0.013798385381573663
