t,variable,value,scenario,is_baseline,regime,uncertainty,value_lo,value_hi
7,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,lead,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,maize,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,maize,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,maize,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,maize,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,maize,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,maize,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,maize,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,maize,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,ngas_us,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,ngas_us,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,ngas_us,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,ngas_us,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,ngas_us,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,ngas_us,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,ngas_us,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,ngas_us,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,nickel,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,nickel,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,nickel,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,nickel,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,nickel,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,nickel,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,nickel,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,nickel,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,platinum,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,platinum,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,platinum,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,platinum,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,platinum,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,platinum,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,platinum,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,platinum,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,silver,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,silver,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,silver,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,silver,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,silver,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,silver,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,silver,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,silver,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
1,soybeans,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
2,soybeans,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
3,soybeans,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
4,soybeans,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
5,soybeans,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
6,soybeans,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
7,soybeans,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
8,soybeans,0,GIRF — aluminium to uncertainty shock,TRUE,combined,jln,NA,NA
