scenario,regime,variable,t,sum_contrib,uncertainty,delta,residual
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,9,-0.008032255028506163,vxo,-0.00803225502850616,3.469446951953614e-18
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,10,0.06781835117616172,vxo,0.06781835117616171,-1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,11,-0.06128407773787035,vxo,-0.06128407773787033,2.0816681711721685e-17
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,12,0.016215005651207485,vxo,0.01621500565120748,-3.469446951953614e-18
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,coffee_arabic,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,3,0.07601747397851354,vxo,0.07601747397851354,0
GIRF — aluminium to uncertainty shock,combined,copper,4,-0.0033216763148290005,vxo,-0.003321676314829,4.336808689942018e-19
GIRF — aluminium to uncertainty shock,combined,copper,5,-0.1624033399574398,vxo,-0.16240333995743983,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,copper,6,0.12551057591132592,vxo,0.12551057591132592,0
GIRF — aluminium to uncertainty shock,combined,copper,7,-0.0534382478853138,vxo,-0.05343824788531378,2.0816681711721685e-17
GIRF — aluminium to uncertainty shock,combined,copper,8,0.11159467533358357,vxo,0.1115946753335836,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,copper,9,0.20017457414800502,vxo,0.20017457414800505,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,copper,10,0.2292656642686498,vxo,0.22926566426864983,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,copper,11,-0.10984873512912724,vxo,-0.10984873512912724,0
GIRF — aluminium to uncertainty shock,combined,copper,12,-0.27286968096410075,vxo,-0.2728696809641007,5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,copper,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,copper,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,3,-0.13621612524335988,vxo,-0.13621612524335985,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,4,-0.0796183862091924,vxo,-0.07961838620919243,-2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,5,0.11122089222484074,vxo,0.1112208922248408,5.551115123125783e-17
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,6,0.34510707418652176,vxo,0.34510707418652176,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,7,-0.04581597512042657,vxo,-0.04581597512042659,-1.3877787807814457e-17
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,8,-0.1770483752898792,vxo,-0.1770483752898792,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,9,0.1027066690649864,vxo,0.1027066690649864,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,10,0.02256334778570364,vxo,0.02256334778570365,1.0408340855860843e-17
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,11,-0.09445839842421495,vxo,-0.09445839842421493,2.7755575615628914e-17
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,12,-0.014484278228733933,vxo,-0.01448427822873393,1.734723475976807e-18
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,13,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,14,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,15,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,16,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,17,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,18,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,19,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,20,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,21,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,22,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,23,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,24,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,1,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,2,0,vxo,0,0
GIRF — aluminium to uncertainty shock,combined,crude_wti,3,0.06346667955607917,vxo,0.06346667955607915,-1.3877787807814457e-17
