uncertainty,scenario,regime,variable,t,shocked,baseline,delta
vix,GIRF — aluminium to uncertainty shock,combined,coffee_arabic,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,3,0.1846316851129237,0,0.1846316851129237
vix,GIRF — aluminium to uncertainty shock,combined,copper,4,-0.00268567609418505,0,-0.00268567609418505
vix,GIRF — aluminium to uncertainty shock,combined,copper,5,-0.00797265432764852,0,-0.00797265432764852
vix,GIRF — aluminium to uncertainty shock,combined,copper,6,0.01119737111780964,0,0.01119737111780964
vix,GIRF — aluminium to uncertainty shock,combined,copper,7,0.06262460741472055,0,0.06262460741472055
vix,GIRF — aluminium to uncertainty shock,combined,copper,8,-0.09306515332272514,0,-0.09306515332272514
vix,GIRF — aluminium to uncertainty shock,combined,copper,9,-0.0777782906413041,0,-0.0777782906413041
vix,GIRF — aluminium to uncertainty shock,combined,copper,10,0.06549989398480034,0,0.06549989398480034
vix,GIRF — aluminium to uncertainty shock,combined,copper,11,0.03355963821408654,0,0.03355963821408654
vix,GIRF — aluminium to uncertainty shock,combined,copper,12,-0.10312909848908944,0,-0.10312909848908944
vix,GIRF — aluminium to uncertainty shock,combined,copper,13,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,copper,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,3,0.17852603951602447,0,0.17852603951602447
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,4,0.09512668300733702,0,0.09512668300733702
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,5,0.07868360400645467,0,0.07868360400645467
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,6,0.07621292463254253,0,0.07621292463254253
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,7,0.1039195083491056,0,0.1039195083491056
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,8,-0.05533894295208672,0,-0.05533894295208672
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,9,-0.12107526730532411,0,-0.12107526730532411
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,10,-0.01524423279065685,0,-0.01524423279065685
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,11,0.06348109945013615,0,0.06348109945013615
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,12,-0.0385272420802927,0,-0.0385272420802927
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,13,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,cotton_a_indx,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,3,-0.12571075042554108,0,-0.12571075042554108
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,4,0.03495824975992348,0,0.03495824975992348
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,5,0.03038535469006776,0,0.03038535469006776
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,6,-0.03795646277723516,0,-0.03795646277723516
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,7,-0.0038666440660895,0,-0.0038666440660895
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,8,-0.04576037238257173,0,-0.04576037238257173
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,9,0.0060040239978824,0,0.0060040239978824
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,10,0.05251617243651212,0,0.05251617243651212
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,11,-0.02814944021392017,0,-0.02814944021392017
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,12,-0.07569260016702008,0,-0.07569260016702008
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,13,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,14,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,15,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,16,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,17,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,18,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,19,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,20,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,21,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,22,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,23,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,crude_wti,24,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,1,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,2,0,0,0
vix,GIRF — aluminium to uncertainty shock,combined,gold,3,0.03176478518626797,0,0.03176478518626797
vix,GIRF — aluminium to uncertainty shock,combined,gold,4,-0.00514162875629013,0,-0.00514162875629013
vix,GIRF — aluminium to uncertainty shock,combined,gold,5,0.03851061595447657,0,0.03851061595447657
vix,GIRF — aluminium to uncertainty shock,combined,gold,6,0.01405514225429162,0,0.01405514225429162
vix,GIRF — aluminium to uncertainty shock,combined,gold,7,-0.00233594198178225,0,-0.00233594198178225
vix,GIRF — aluminium to uncertainty shock,combined,gold,8,-0.06451269503517719,0,-0.06451269503517719
vix,GIRF — aluminium to uncertainty shock,combined,gold,9,-0.00960288584179126,0,-0.00960288584179126
vix,GIRF — aluminium to uncertainty shock,combined,gold,10,0.018321131381445,0,0.018321131381445
vix,GIRF — aluminium to uncertainty shock,combined,gold,11,-0.01316511948008656,0,-0.01316511948008656
vix,GIRF — aluminium to uncertainty shock,combined,gold,12,-0.05333609844690424,0,-0.05333609844690424
vix,GIRF — aluminium to uncertainty shock,combined,gold,13,0,0,0
