window,proxy,p,d,c_star,T_L,T_H,s_H,lambda_max_L,lambda_max_H,lb_p_L,lb_p_H,supLM_stat,supLM_p,run_at
1990-01 to 2025-06,vxo_vix,2,2,25.519314567634012,353,69,0.1635071090047393,0.5960956449513823,0.9819071909380312,0.0089649829510342,0.11146299592937514,4616.819200902272,2.2250738585072017e-291,2025-08-27T19:53:17Z
1986-2025,vxo_vix,2,2,26.83385024670688,318,59,0.156498673740053,0.5783077773996887,0.9704068170824304,0.01431870440502203,0.00907412543043317,5251.153814861301,2.2250738585072017e-291,2025-08-27T19:53:26Z
1986-2025,jln,2,1,0.9614256301069809,357,63,0.15000000000000002,0.5808543570024901,0.8813104578078266,0.0022409569104814286,0.0012176638114778093,5054.889836352319,2.2250738585072014e-308,2025-08-27T19:53:37Z
