Group,ΔΔ @12,Horizon,Δ PI,Δ h½ (m),Diagnostics,Splice
Energy,✓,✓,✓,△,△,✓
Industrial,✓,✓,✓,△,△,✓
Precious,✓,✓,✓,✓,△,✓
Agriculture,✓,✓,✓,✗,△,✓
